
Name	Value	Initial	Applies to	Inh.	%ages	Anim­ation type	Canonical order	Com­puted value	Logical property group
margin-block-end	<'margin-top'>	0	Same as margin-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding margin-* properties	margin
margin-block-start	<'margin-top'>	0	Same as margin-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding margin-* properties	margin
margin-inline	<'margin-top'>{1,2}	see individual properties	see individual properties	see individual properties	see individual properties	see individual properties	per grammar	see individual properties	
margin-inline-end	<'margin-top'>	0	Same as margin-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding margin-* properties	margin
margin-inline-start	<'margin-top'>	0	Same as margin-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding margin-* properties	margin
max-block-size	<'max-width'>	none	same as height and width	no	As for the corresponding physical property	by computed value type	per grammar	Same as max-height, max-width	max-size
max-inline-size	<'max-width'>	none	same as height and width	no	As for the corresponding physical property	by computed value type	per grammar	Same as max-height, max-width	max-size
min-block-size	<'min-width'>	0	same as height and width	no	As for the corresponding physical property	by computed value type	per grammar	Same as min-height, min-width	min-size
min-inline-size	<'min-width'>	0	same as height and width	no	As for the corresponding physical property	by computed value type	per grammar	Same as min-height, min-width	min-size
padding-block	<'padding-top'>{1,2}	see individual properties	see individual properties	see individual properties	see individual properties	see individual properties	per grammar	see individual properties	
padding-block-end	<'padding-top'>	0	Same as padding-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding padding-* properties	padding
padding-block-start	<'padding-top'>	0	Same as padding-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding padding-* properties	padding
padding-inline	<'padding-top'>{1,2}	see individual properties	see individual properties	see individual properties	see individual properties	see individual properties	per grammar	see individual properties	
padding-inline-end	<'padding-top'>	0	Same as padding-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding padding-* properties	padding
padding-inline-start	<'padding-top'>	0	Same as padding-top	no	As for the corresponding physical property	by computed value type	per grammar	Same as corresponding padding-* properties	padding
